spectrum_path,valid_fraction
Binzel2019data_gp/a005646.visnir.txt,0.0000
Binzel2019data_gp/a036017.visnir.txt,0.0000
Binzel2019data_gp/a162173.visnir.txt,0.0000
Binzel2019data_gp/a004775.visnir.txt,0.0100
Binzel2019data_gp/a354030.visnir_xth.txt,0.0100
DeMeo2009data_gp/a000402.sp04.txt,0.0150
Binzel2019data_gp/au2002UN.visnir.txt,0.0175
Binzel2019data_gp/a068350.visnir.txt,0.0374
Binzel2019data_gp/au2002TS67.visnir.txt,0.0873
Binzel2019data_gp/a154276.visnir.txt,0.1072
DeMeo2009data_gp/a000106.sp24.txt,0.1172
DeMeo2009data_gp/a000078.sp46.txt,0.1197
DeMeo2009data_gp/a000579.sp04.txt,0.1222
DeMeo2009data_gp/a000111.sp31.txt,0.1421
DeMeo2009data_gp/a001508.sp28.txt,0.1471
Binzel2019data_gp/a455192.visnir.txt,0.1796
Binzel2019data_gp/a152560.visnir.txt,0.2469
Binzel2019data_gp/a162998.visnir.txt,0.2494
Binzel2019data_gp/a010150.visnir.txt,0.2519
Binzel2019data_gp/a035396.visnir.txt,0.2519
Binzel2019data_gp/a085774.visnir.txt,0.2519
Binzel2019data_gp/a085774.visnir_xth.txt,0.2519
Binzel2019data_gp/a013553.visnir.txt,0.2618
Binzel2019data_gp/a138911.visnir.txt,0.2618
Binzel2019data_gp/a007822.visnir.txt,0.2643
Binzel2019data_gp/a004660.visnir.txt,0.2693
Binzel2019data_gp/a152563.visnir.txt,0.2743
Binzel2019data_gp/a006456.visnir.txt,0.2793
Binzel2019data_gp/a159857.visnir.txt,0.2968
Binzel2019data_gp/a455415.visnir.txt,0.3092
Binzel2019data_gp/a085867.visnir.txt,0.3142
DeMeo2009data_gp/a000653.sp21.txt,0.3167
Binzel2019data_gp/a065803.visnir.txt,0.3192
Binzel2019data_gp/a162483.visnir.txt,0.3192
Binzel2019data_gp/au2003UB5.visnir.txt,0.3342
DeMeo2009data_gp/a000041.sp30.txt,0.3416
Binzel2019data_gp/au2004LU3.visnir.txt,0.3416
Binzel2019data_gp/a159635.visnir.txt,0.3491
Binzel2019data_gp/a008373.visnir.txt,0.3516
Binzel2019data_gp/a006909.visnir.txt,0.3591
Binzel2019data_gp/a068346.visnir.txt,0.3691
Binzel2019data_gp/a137427.visnir.txt,0.3691
DeMeo2009data_gp/a000191.sp38.txt,0.3791
DeMeo2009data_gp/a000021.sp31.txt,0.3865
Binzel2019data_gp/a138846.visnir.txt,0.3865
Binzel2019data_gp/a162149.visnir.txt,0.3865
Binzel2019data_gp/a180186.visnir.txt,0.3865
DeMeo2009data_gp/a000054.sp19.txt,0.3915
Binzel2019data_gp/a452389.visnir.txt,0.4065
DeMeo2009data_gp/a000175.sp47.txt,0.4239
DeMeo2009data_gp/a001848.sp07.txt,0.5112
DeMeo2009data_gp/a000013.sp41.txt,0.5860
DeMeo2009data_gp/a000084.sp24.txt,0.6085
DeMeo2009data_gp/a000034.sp28.txt,0.6384
Binzel2019data_gp/a002212.visnir.txt,0.6633
Binzel2019data_gp/a010115.visnir.txt,0.7057
Binzel2019data_gp/a153591.visnir.txt,0.7157
Binzel2019data_gp/a006037.visnir.txt,0.7332
Binzel2019data_gp/a096189.visnir.txt,0.7357
Binzel2019data_gp/a137199.visnir.txt,0.7481
Binzel2019data_gp/a085990.visnir.txt,0.7581
Binzel2019data_gp/au2002NY40.visnir.txt,0.7581
Binzel2019data_gp/a000887.visnir.txt,0.7681
Binzel2019data_gp/a099799.visnir.txt,0.7706
Binzel2019data_gp/a003361.visnir.txt,0.7731
Binzel2019data_gp/a153591.visnir_xth.txt,0.7731
Binzel2019data_gp/a162911.visnir.txt,0.7731
Binzel2019data_gp/a086212.visnir.txt,0.7756
Binzel2019data_gp/a096189.visnir_xth.txt,0.7781
Binzel2019data_gp/a145656.visnir.txt,0.7805
Binzel2019data_gp/a004015.visnir.txt,0.7880
Binzel2019data_gp/a267494.visnir.txt,0.7930
DeMeo2009data_gp/a000789.sp16.txt,0.7980
Binzel2019data_gp/a503871.visnir.txt,0.7980
Binzel2019data_gp/a236716.visnir.txt,0.8030
Binzel2019data_gp/a241662.visnir.txt,0.8055
Binzel2019data_gp/a026760.visnir.txt,0.8080
Binzel2019data_gp/a085709.visnir.txt,0.8155
Binzel2019data_gp/a303174.visnir.txt,0.8155
Binzel2019data_gp/a001310.visnir.txt,0.8180
Binzel2019data_gp/a001580.visnir.txt,0.8180
Binzel2019data_gp/a001580.visnir_xth.txt,0.8180
Binzel2019data_gp/a005693.visnir.txt,0.8180
Binzel2019data_gp/a022753.visnir.txt,0.8180
Binzel2019data_gp/a026760.visnir_xth.txt,0.8180
Binzel2019data_gp/a063164.visnir.txt,0.8180
Binzel2019data_gp/a066063.visnir.txt,0.8180
Binzel2019data_gp/a144411.visnir.txt,0.8180
Binzel2019data_gp/a312473.visnir.txt,0.8180
Binzel2019data_gp/a301964.visnir.txt,0.8204
Binzel2019data_gp/a329437.visnir.txt,0.8204
Binzel2019data_gp/a143624.visnir.txt,0.8229
Binzel2019data_gp/a350523.visnir.txt,0.8229
Binzel2019data_gp/a002449.visnir.txt,0.8279
Binzel2019data_gp/a065996.visnir_xth.txt,0.8279
DeMeo2009data_gp/a002442.sp17.txt,0.8304
Binzel2019data_gp/a137170.visnir.txt,0.8329
Binzel2019data_gp/a164202.visnir.txt,0.8329
DeMeo2009data_gp/a054690.sp05.txt,0.8354
Binzel2019data_gp/a019764.visnir.txt,0.8354
Binzel2019data_gp/a005645.visnir.txt,0.8379
Binzel2019data_gp/a010145.visnir.txt,0.8379
Binzel2019data_gp/a024761.visnir.txt,0.8379
Binzel2019data_gp/a053319.visnir_xth.txt,0.8379
Binzel2019data_gp/a455322.visnir.txt,0.8454
Binzel2019data_gp/a455322.visnir_xth.txt,0.8454
Binzel2019data_gp/a025143.visnir.txt,0.8479
Binzel2019data_gp/a068359.visnir.txt,0.8479
Binzel2019data_gp/a099942.visnir.txt,0.8479
Binzel2019data_gp/a461501.visnir.txt,0.8529
Binzel2019data_gp/a068950.visnir.txt,0.8554
Binzel2019data_gp/a007888.visnir.txt,0.8579
DeMeo2009data_gp/a004197.sp25.txt,0.8628
Binzel2019data_gp/a015745.visnir.txt,0.8653
Binzel2019data_gp/a017511.visnir.txt,0.8653
Binzel2019data_gp/a102528.visnir.txt,0.8653
DeMeo2009data_gp/a001094.sp21.txt,0.8703
Binzel2019data_gp/a004953.visnir.txt,0.8703
Binzel2019data_gp/au2001SG286.visnir.txt,0.8703
Binzel2019data_gp/a009400.visnir.txt,0.8728
Binzel2019data_gp/a217796.visnir.txt,0.8753
DeMeo2009data_gp/a002521.sp09.txt,0.8778
Binzel2019data_gp/a440212.visnir.txt,0.8803
DeMeo2009data_gp/a019356.sp03.txt,0.8828
Binzel2019data_gp/a037336.visnir.txt,0.8828
Binzel2019data_gp/a189552.visnir.txt,0.8828
Binzel2019data_gp/a138852.visnir.txt,0.8853
Binzel2019data_gp/a219071.visnir.txt,0.8853
DeMeo2009data_gp/a000776.sp38.txt,0.8878
DeMeo2009data_gp/a005840.sp08.txt,0.8878
DeMeo2009data_gp/a000236.sp50.txt,0.8953
DeMeo2009data_gp/a000824.sp07.txt,0.9002
Binzel2019data_gp/a154302.visnir.txt,0.9002
Binzel2019data_gp/a011398.visnir.txt,0.9027
DeMeo2009data_gp/a000070.sp18.txt,0.9052
DeMeo2009data_gp/a000038.sp23.txt,0.9077
Binzel2019data_gp/a052768.visnir.txt,0.9102
Binzel2019data_gp/a054789.visnir.txt,0.9102
Binzel2019data_gp/a399774.visnir.txt,0.9102
Binzel2019data_gp/a039572.visnir.txt,0.9127
DeMeo2009data_gp/a000115.sp10.txt,0.9152
Binzel2019data_gp/a005392.visnir.txt,0.9152
DeMeo2009data_gp/a000051.sp29.txt,0.9177
Binzel2019data_gp/a003671.visnir.txt,0.9177
Binzel2019data_gp/a141052.visnir.txt,0.9177
DeMeo2009data_gp/a000039.sp07.txt,0.9202
DeMeo2009data_gp/a162781.sp03.txt,0.9202
Binzel2019data_gp/a010302.visnir.txt,0.9202
DeMeo2009data_gp/a000052.sp52.txt,0.9227
DeMeo2009data_gp/a000599.sp04.txt,0.9227
DeMeo2009data_gp/a000606.sp18.txt,0.9227
Binzel2019data_gp/a002340.visnir.txt,0.9227
Binzel2019data_gp/a137032.visnir.txt,0.9227
DeMeo2009data_gp/a000434.sp08.txt,0.9252
Binzel2019data_gp/a108519.visnir.txt,0.9252
DeMeo2009data_gp/a002448.sp21.txt,0.9277
Binzel2019data_gp/a014402.visnir.txt,0.9277
Binzel2019data_gp/a137799.visnir.txt,0.9277
Binzel2019data_gp/au2002AV.visnir.txt,0.9277
DeMeo2009data_gp/a003910.sp16.txt,0.9302
Binzel2019data_gp/a002100.visnir.txt,0.9302
Binzel2019data_gp/a005836.visnir.txt,0.9302
Binzel2019data_gp/a086039.visnir.txt,0.9302
Binzel2019data_gp/a163697.visnir.txt,0.9302
DeMeo2009data_gp/a000029.sp03.txt,0.9327
DeMeo2009data_gp/a000077.sp55.txt,0.9327
Binzel2019data_gp/a405058.visnir.txt,0.9327
DeMeo2009data_gp/a000085.sp24.txt,0.9352
DeMeo2009data_gp/a000378.sp12.txt,0.9352
Binzel2019data_gp/a003691.visnir.txt,0.9352
Binzel2019data_gp/a200840.visnir.txt,0.9352
Binzel2019data_gp/a283460.visnir.txt,0.9352
DeMeo2009data_gp/a000003.sp21.txt,0.9377
DeMeo2009data_gp/a000675.sp12.txt,0.9377
DeMeo2009data_gp/a000729.sp07.txt,0.9377
DeMeo2009data_gp/a001198.sp19.txt,0.9377
DeMeo2009data_gp/a006386.sp36.txt,0.9377
DeMeo2009data_gp/a018736.sp03.txt,0.9377
DeMeo2009data_gp/a036284.sp11.txt,0.9377
Binzel2019data_gp/a003833.visnir.txt,0.9377
Binzel2019data_gp/a138524.visnir.txt,0.9377
DeMeo2009data_gp/a000040.sp32.txt,0.9401
DeMeo2009data_gp/a000064.sp03.txt,0.9401
DeMeo2009data_gp/a000925.sp18.txt,0.9401
DeMeo2009data_gp/a001332.sp42.txt,0.9401
DeMeo2009data_gp/a020786.sp25.txt,0.9401
DeMeo2009data_gp/a086450.sp03.txt,0.9401
Binzel2019data_gp/a003988.visnir.txt,0.9401
Binzel2019data_gp/a016834.visnir.txt,0.9401
Binzel2019data_gp/a033342.visnir.txt,0.9401
Binzel2019data_gp/a065996.visnir.txt,0.9401
Binzel2019data_gp/a161998.visnir.txt,0.9401
DeMeo2009data_gp/a000387.sp22.txt,0.9426
DeMeo2009data_gp/a066146.sp25.txt,0.9426
Binzel2019data_gp/a024445.visnir.txt,0.9426
