Title: Asteroid Classification with Convolutional Neural Networks
Authors: Patel N., Burbine T. H., DeMeo F. E.
Table A1: Testing Results for Individual Asteroids
=================================================================================================
Column  Description 
-------------------------------------------------------------------------------------------------
 1- 9   Number or Designation
11-14   Class
16-17   Run 1 Prediction
19-21   Run 2 Prediction 
23-25   Run 3 Prediction
-------------------------------------------------------------------------------------------------
4         V    -  -   V  
13        Ch   -  -   Ch 
17        S    -  -   S  
24        C    -  -   C  
28        S    -  -   S  
29        S    -  -   S  
34        Ch   -  -   Ch 
38        Cgh  -  Cgh -  
41        Ch   -  -   Ch 
42        K    -  -   K  
55        Xk   -  -   Xk 
69        Xk   -  -   Xk 
92        Xk   -  -   Xk 
96        T    -  T   Xk 
101       S    -  -   S  
106       Cgh  -  -   Ch 
108       S    -  -   S  
115       S    -  -   S  
119       S    -  -   S  
130       Ch   -  -   Ch 
132       Xe   -  K   -  
151       S    -  -   S  
158       S    -  -   S  
192       S    -  -   S  
199       D    -  -   D  
214       Cgh  -  -   Cgh
216       Xe   -  -   Xe 
236       L    -  -   L  
279       D    -  -   D  
349       R    -  R   R  
387       L    -  -   L  
403       S    -  -   S  
433       S    -  S   -  
444       C    -  -   C  
446       A    -  -   A  
512       Sq   -  Sq  -  
599       L    -  -   L  
625       S    -  -   S  
631       S    -  -   S  
661       K    -  -   K  
699       S    -  S   -  
699       Sq   -  S   -  
719       S    -  S   -  
720       Sq   -  -   S  
729       L    -  -   L  
785       Cb   -  -   Cb 
832       S    -  -   S  
887       S    Xk S   -  
925       S    -  -   S  
984       Sa   -  -   Sa 
1011      S    -  Sq  -  
1011      Sq   -  Sq  -  
1036      S    -  S   -  
1036      Sr   -  Sr  -  
1065      S    -  S   -  
1131      S    -  S   -  
1139      S    -  Sq  -  
1148      K    -  -   K  
1198      S    -  S   -  
1204      S    -  S   -  
1228      Sr   -  -   Sr 
1310      S    S  S   -  
1332      L    -  -   L  
1374      Sq   -  Sq  Sq 
1468      V    V  V   -  
1494      Sq   -  -   Sq 
1508      B    -  C   -  
1565      S    -  Sr  -  
1565      Sr   -  Sr  -  
1566      Q    Q  Q   -  
1580      B    L  B   -  
1620      S    -  Sq  -  
1627      S    S  S   -  
1640      S    -  S   -  
1685      Sq   -  Sq  -  
1747      S    S  S   -  
1862      Q    -  Q   -  
1864      Sq   -  Sq  Sq 
1865      S    S  S   -  
1866      S    -  S   -  
1916      S    -  S   -  
1917      Sv   S  Sr  -  
1943      S    -  S   -  
1951      A    A  A   -  
1980      S    -  S   -  
1981      V    V  V   -  
2035      Xe   -  Xe  -  
2042      Sr   -  -   Sr 
2063      Sq   -  Sq  -  
2064      Sq   -  Sq  -  
2074      S    -  S   -  
2078      S    S  S   -  
2099      Ch   -  Ch  -  
2100      B    B  -   B  
